
2023/10/03 (10:59:00) | ===> btop++ v.1.2.13
2023/10/03 (10:59:00) | ERROR: Failed to get size of terminal!

2023/10/03 (11:00:00) | ===> btop++ v.1.2.13
2023/10/03 (11:00:00) | ERROR: Failed to get size of terminal!

2023/10/03 (15:02:09) | ===> btop++ v.1.2.13
2023/10/03 (15:02:09) | ERROR: Failed to get size of terminal!

2023/10/04 (15:53:11) | ===> btop++ v.1.2.13
2023/10/04 (15:53:11) | ERROR: Failed to get size of terminal!

2023/10/04 (16:08:55) | ===> btop++ v.1.2.13
2023/10/04 (16:08:55) | ERROR: Failed to get size of terminal!

2023/10/04 (16:31:47) | ===> btop++ v.1.2.13
2023/10/04 (16:31:47) | ERROR: Failed to get size of terminal!

2023/10/05 (10:31:11) | ===> btop++ v.1.2.13
2023/10/05 (10:31:11) | ERROR: Failed to get size of terminal!

2023/10/05 (16:03:11) | ===> btop++ v.1.2.13
2023/10/05 (16:03:11) | ERROR: Failed to get size of terminal!

2023/10/06 (13:35:33) | ===> btop++ v.1.2.13
2023/10/06 (13:35:33) | ERROR: Failed to get size of terminal!

2023/10/08 (18:36:04) | ===> btop++ v.1.2.13
2023/10/08 (18:36:04) | ERROR: Failed to get size of terminal!

2023/10/09 (16:19:45) | ===> btop++ v.1.2.13
2023/10/09 (16:19:45) | ERROR: Failed to get size of terminal!

2023/10/10 (10:45:49) | ===> btop++ v.1.2.13
2023/10/10 (10:45:49) | ERROR: Failed to get size of terminal!

2023/10/10 (20:40:35) | ===> btop++ v.1.2.13
2023/10/10 (20:40:35) | ERROR: Failed to get size of terminal!

2023/10/11 (11:17:08) | ===> btop++ v.1.2.13
2023/10/11 (11:17:08) | ERROR: Failed to get size of terminal!

2023/10/12 (07:57:44) | ===> btop++ v.1.2.13
2023/10/12 (07:57:44) | ERROR: Failed to get size of terminal!

2023/10/12 (08:50:41) | ===> btop++ v.1.2.13
2023/10/12 (08:50:41) | ERROR: Failed to get size of terminal!

2023/10/12 (10:02:13) | ===> btop++ v.1.2.13
2023/10/12 (10:02:13) | ERROR: Failed to get size of terminal!

2023/10/13 (10:04:41) | ===> btop++ v.1.2.13
2023/10/13 (10:04:41) | ERROR: Failed to get size of terminal!

2023/10/13 (13:26:03) | ===> btop++ v.1.2.13
2023/10/13 (13:26:03) | ERROR: Failed to get size of terminal!

2023/10/14 (09:40:26) | ===> btop++ v.1.2.13
2023/10/14 (09:40:26) | ERROR: Failed to get size of terminal!

2023/10/16 (13:33:58) | ===> btop++ v.1.2.13
2023/10/16 (13:33:58) | ERROR: Failed to get size of terminal!
